ident(String),type(String),name(String),elevation_ft(Integer),continent(String),iso_country(String),iso_region(String),municipality(String),gps_code(String),local_code(String),coordinates(String)
8FL6,small_airport,George T Mc Cutchan Airport,160,NA,US,US-FL,Harold,8FL6,8FL6,"30.673500061035156, -86.85189819335938"
8FL7,heliport,Capra Farms Heliport,175,NA,US,US-FL,Gainesville,8FL7,8FL7,"29.68549919128418, -82.47589874267578"
8FL8,heliport,Jacksonville Police Heliport,77,NA,US,US-FL,Jacksonville,8FL8,8FL8,"30.325199127197266, -81.65119934082031"
8FL9,heliport,Burnt Store Road Heliport,9,NA,US,US-FL,Punta Gorda,8FL9,8FL9,"26.846631, -82.022228"
8G3,small_airport,Giermek Executive Airport,1420,NA,US,US-NY,Olean,8G3,8G3,"42.06869888305664, -78.40450286865234"
8G8,small_airport,Koons Airport,1327,NA,US,US-OH,Salem,8G8,8G8,"40.883399963378906, -80.88310241699219"
8GA0,heliport,Pinetree Heliport,1060,NA,US,US-GA,Cumming,8GA0,8GA0,"34.145833, -84.229722"
8GA1,small_airport,Gum Creek Airport,1070,NA,US,US-GA,Roopville,8GA1,8GA1,"33.4212, -85.161903"
8GA2,heliport,Dwight David Eisenhower Army Medical Ctr Heliport,400,NA,US,US-GA,Augusta,8GA2,8GA2,"33.4300994873, -82.12120056150002"
8GA3,small_airport,Leesburg Spraying Airport,260,NA,US,US-GA,Leesburg,8GA3,8GA3,"31.77519989013672, -84.1249008178711"
8GA4,closed,Doctors Hospital Heliport,400,NA,US,US-GA,Augusta,,,"33.481701, -82.091698"
8GA5,heliport,Marion Hospital Heliport,740,NA,US,US-GA,Buena Vista,8GA5,8GA5,"32.328800201416016, -84.52629852294922"
8GA6,small_airport,S & S Landing Strip,900,NA,US,US-GA,Griffin,8GA6,8GA6,"33.16070175, -84.3184967"
8GA7,small_airport,Etowah Bend Gliderport,620,NA,US,US-GA,Kingston,8GA7,8GA7,"34.20199966430664, -84.97720336914062"
8GA8,small_airport,Falcons Aerie Airport,1180,NA,US,US-GA,Carrollton,8GA8,8GA8,"33.577301025390625, -85.00299835205078"
8GA9,small_airport,Brook Bridge Aerodrome,820,NA,US,US-GA,Vaughn,8GA9,8GA9,"33.276798248291016, -84.41079711914062"
8GE8,heliport,Northside Hospital-Cherokee Heliport,975,NA,US,US-GA,Canton,8GE8,8GE8,"34.246700286865234, -84.49919891357422"
8I1,small_airport,Robinson Airport,484,NA,US,US-IN,Vevay,8I1,8I1,"38.69449996948242, -85.19830322265625"
8I3,small_airport,Glenndale Airport,850,NA,US,US-IN,Kokomo,8I3,8I3,"40.43339920043945, -86.20330047607422"
8IA0,heliport,Unity Healthcare Heliport,633,NA,US,US-IA,Muscatine,8IA0,8IA0,"41.4336013794, -91.05419921880001"
8IA1,heliport,Hegg Memorial Healthcare Center Heliport,1256,NA,US,US-IA,Rock Valley,8IA1,8IA1,"43.201499938964844, -96.28359985351562"
8IA2,small_airport,Port Paradise Farms Airport,700,NA,US,US-IA,Winfield,8IA2,8IA2,"41.17390060424805, -91.36180114746094"
8IA9,small_airport,Shields Airport,1245,NA,US,US-IA,Red Oak,8IA9,8IA9,"41.15610123, -95.24420166"
8ID8,small_airport,Lewis And Clark Airstrip,4530,NA,US,US-ID,Salmon,8ID8,8ID8,"45.353333, -113.865"
8II0,small_airport,Allen and Gloss Airport,880,NA,US,US-IN,Bennington,8II0,8II0,"38.856998443603516, -85.10130310058594"
8II1,small_airport,Careferre Acres Airport,520,NA,US,US-IN,Jasonville,8II1,8II1,"39.183101654052734, -87.1260986328125"
8II2,small_airport,Norris Field,1085,NA,US,US-IN,Liberty,8II2,8II2,"39.653099060058594, -84.86609649658203"
8II3,small_airport,Thrust Industries Airport,460,NA,US,US-IN,Haubstadt,8II3,8II3,"38.212501525878906, -87.57949829101562"
8II4,closed,Helton Heliport,815,NA,US,US-IN,Hazelwood,,,"39.614498, -86.520798"
8II5,small_airport,Holt Field,790,NA,US,US-IN,Hoagland,8II5,8II5,"40.89950180053711, -85"
8II6,heliport,Allsion Plant 5 Heliport,780,NA,US,US-IN,Indianapolis,8II6,8II6,"39.7333984375, -86.20469665527344"
8II7,heliport,Allison Plant 8 Heliport,795,NA,US,US-IN,Indianapolis,8II7,8II7,"39.7411994934082, -86.20970153808594"
8II8,heliport,Allison Plant 3 Heliport,780,NA,US,US-IN,Indianapolis,8II8,8II8,"39.77920150756836, -86.24579620361328"
8II9,heliport,Summe Farm Heliport,880,NA,US,US-IN,Zionsville,8II9,8II9,"39.95750045776367, -86.24800109863281"
8IL0,small_airport,Adkins RLA Restricted Landing Area,853,NA,US,US-IL,Harvard,8IL0,8IL0,"42.352798461899994, -88.634803772"
8IL1,small_airport,Twin Gardens Airport,900,NA,US,US-IL,Harvard,8IL1,8IL1,"42.40840148925781, -88.65290069580078"
8IL2,small_airport,Kirkpatrick Airport,950,NA,US,US-IL,Harvard,8IL2,8IL2,"42.48469924926758, -88.60009765625"
8IL3,small_airport,Butler Hill RLA Restricted Landing Area,765,NA,US,US-IL,West Brooklyn,8IL3,8IL3,"41.7380981445, -89.16249847410002"
